,0
0,15
1,7
2,9
3,10
4,7
5,8
6,20
7,16
8,9
9,19
10,14
11,10
12,11
13,10
14,10
15,12
16,7
17,10
18,7
19,9
20,11
21,10
22,12
23,9
24,10
25,11
26,11
27,12
28,15
29,11
30,10
31,15
32,18
33,19
34,13
35,8
36,16
37,8
38,11
39,9
40,9
41,14
42,5
43,5
44,4
45,7
46,9
47,7
48,6
49,9
50,8
51,7
52,10
53,10
54,7
55,8
56,8
57,8
58,4
59,7
60,7
61,9
62,10
63,7
64,8
65,8
66,12
67,13
68,10
69,6
70,13
71,8
72,20
73,11
74,13
75,15
76,9
77,10
78,11
79,14
80,9
81,12
82,16
83,21
84,14
85,12
86,13
87,10
88,9
89,12
90,15
91,12
92,13
93,10
94,15
95,14
96,9
97,8
98,7
99,10
100,7
101,15
102,15
103,10
104,12
105,12
106,11
107,10
108,9
109,9
110,9
111,9
112,9
113,9
114,11
115,11
116,11
117,10
118,9
119,8
120,9
121,7
122,14
123,6
124,6
125,5
126,6
127,8
128,19
129,18
130,17
131,9
132,7
133,7
134,7
135,8
136,7
137,9
138,9
139,9
140,10
141,10
142,16
143,11
144,10
145,10
146,10
147,9
148,5
149,4
150,15
151,9
152,10
153,10
154,12
155,10
156,13
157,16
158,13
159,13
160,13
161,13
162,12
163,18
164,16
165,14
166,20
167,20
168,14
169,12
170,14
171,7
172,8
173,8
174,5
175,7
176,5
177,8
178,4
179,11
180,14
181,21
182,10
183,10
184,12
185,13
186,12
187,10
188,11
189,9
190,13
191,12
192,14
193,8
194,10
195,12
196,11
197,16
198,15
199,10
200,9
201,13
202,12
203,13
204,8
205,9
206,9
207,8
208,13
209,7
210,10
211,7
212,12
213,9
214,14
215,10
216,8
217,7
218,10
219,8
220,9
221,11
222,9
223,11
224,10
225,9
226,7
227,7
228,11
229,15
230,13
231,14
232,22
233,7
234,12
235,9
236,1
237,3
238,3
239,5
240,17
241,5
242,5
243,8
244,8
245,10
246,13
247,9
248,7
249,7
250,7
251,13
252,12
253,15
254,15
255,15
256,19
257,10
258,15
259,13
260,11
261,12
262,11
263,4
264,6
265,11
266,14
267,8
268,9
269,13
270,22
271,16
272,14
273,15
274,13
275,22
276,12
277,18
278,20
279,11
280,15
281,7
282,9
283,14
284,14
285,10
286,10
287,17
288,9
289,10
290,17
291,12
292,15
293,19
294,26
295,6
296,6
297,4
298,11
299,9
300,9
301,13
302,8
303,6
304,10
305,4
306,3
307,13
308,14
309,10
310,21
311,14
312,19
313,23
314,23
315,8
316,14
317,10
318,18
319,6
320,5
321,4
322,11
323,5
324,7
325,7
326,7
327,12
328,8
329,8
330,12
331,8
332,5
333,5
334,16
335,11
336,14
337,16
338,13
339,15
340,14
341,14
342,12
343,12
344,8
345,13
346,9
347,6
348,8
349,14
350,8
351,22
352,12
353,9
354,16
355,20
356,13
357,18
358,17
359,16
360,18
361,12
362,20
363,16
364,12
365,19
366,11
367,10
368,12
369,17
370,16
371,16
372,19
373,14
374,13
375,20
376,11
377,10
378,15
379,12
380,15
381,10
382,10
383,12
384,10
