,0
0,5
1,3
2,15
3,10
4,14
5,11
6,7
7,19
8,9
9,11
10,9
11,12
12,11
13,15
14,8
15,15
16,10
17,13
18,7
19,8
20,10
21,13
22,12
23,12
24,10
25,12
26,7
27,9
28,11
29,7
30,10
31,9
32,12
33,11
34,8
35,5
36,7
37,11
38,8
39,8
40,12
41,14
42,10
43,8
44,12
45,12
46,18
47,16
48,4
49,12
50,9
51,6
52,11
53,10
54,10
55,10
56,11
57,10
58,9
59,12
60,11
61,12
62,10
63,10
64,6
65,6
66,8
67,8
68,8
69,8
70,8
71,11
72,12
73,7
74,10
75,11
76,8
77,9
78,11
79,10
80,5
81,10
82,13
83,11
84,9
85,7
86,10
87,9
88,12
89,10
90,11
91,9
92,11
93,11
94,9
95,9
96,9
97,17
98,5
99,11
100,12
101,6
102,9
103,10
104,10
105,7
106,9
107,9
108,12
109,6
110,14
111,11
112,8
113,13
114,7
115,10
116,12
117,10
118,16
119,10
120,12
121,9
122,10
123,3
124,9
125,7
126,10
127,12
128,5
129,8
130,10
131,10
132,6
133,6
134,8
135,24
136,7
137,9
138,4
139,6
140,11
141,8
142,10
143,7
144,12
145,11
146,8
147,8
148,13
149,6
150,12
151,12
152,14
153,6
154,10
155,8
156,8
157,12
158,11
159,19
160,11
161,7
162,8
163,8
164,5
165,6
166,13
167,12
168,11
169,10
170,13
171,6
172,13
173,12
174,13
175,6
176,8
177,9
178,6
179,13
180,9
181,6
182,12
183,11
184,14
185,6
186,10
187,9
188,10
189,14
190,9
191,12
192,12
193,13
194,8
195,7
196,5
197,9
198,17
199,13
200,7
201,7
202,8
203,8
204,11
205,11
206,15
207,10
208,9
209,7
210,8
211,10
212,8
213,12
214,8
215,12
216,10
217,10
218,7
219,15
220,8
221,11
222,11
223,11
224,6
225,7
226,10
227,6
228,9
229,12
230,7
231,22
232,7
233,11
234,11
235,10
236,11
237,9
238,11
239,8
240,20
241,13
242,14
243,11
244,8
245,17
246,17
247,9
248,7
249,12
250,10
251,9
252,9
253,9
254,10
255,11
256,10
257,8
258,8
259,6
260,8
261,6
262,13
263,10
264,17
265,2
266,8
267,4
268,9
269,10
270,8
271,11
272,8
273,9
274,9
275,10
276,11
277,11
278,9
279,10
280,12
281,11
282,16
283,21
284,13
285,12
286,10
287,7
288,10
289,7
290,9
291,15
292,9
293,6
294,7
295,8
296,4
297,9
298,12
299,10
300,10
301,15
302,6
303,7
304,7
305,5
306,10
307,12
308,7
309,9
310,11
311,6
312,9
313,8
314,9
315,10
316,8
317,14
318,6
319,12
320,9
321,9
322,12
323,11
324,23
325,10
326,10
327,12
328,8
329,11
330,10
331,19
332,10
333,11
334,6
335,17
336,9
337,14
338,5
339,11
340,12
341,13
342,6
343,12
344,10
345,13
346,7
347,8
348,11
349,7
350,13
351,9
352,11
353,13
354,9
355,9
356,7
357,7
358,7
359,10
360,6
361,9
362,8
363,7
364,13
365,10
366,14
367,9
368,14
369,9
370,18
371,11
372,9
373,13
374,10
